Compound_Score,Neg_Score,Neu_Score,Pos_Score,Timestamp,Tweet_Text,Tweets_Ago,User
0.836,0.0,0.695,0.305,Mon Jan 08 04:03:53 +0000 2018,"RT @BBCBreaking: Frances McDormand wins 'Best Actress in a Motion Picture - Drama' for her role in Three Billboards Outside Ebbing, Missour…",73,BBCWorld
0.836,0.0,0.603,0.397,Mon Jan 08 03:53:58 +0000 2018,"RT @BBCBreaking: Gary Oldman wins 'Best Actor in a Motion Picture - Drama' 

#GoldenGlobes https://t.co/068UHmydVC https://t.co/aePg1yXPrl",74,BBCWorld
0.836,0.0,0.559,0.441,Mon Jan 08 03:46:21 +0000 2018,"RT @BBCBreaking: Lady Bird wins 'Best Motion Picture - Comedy/Musical' 

#GoldenGlobes https://t.co/QrKvMydAKS https://t.co/8cBGj7mkcm",75,BBCWorld
0.836,0.0,0.683,0.317,Mon Jan 08 03:38:11 +0000 2018,"RT @BBCBreaking: Saoirse Ronan wins 'Best Actress in a Comedy/Musical Motion Picture' for her role in Lady Bird

#GoldenGlobes https://t.co…",76,BBCWorld
0.7579,0.0,0.711,0.289,Mon Jan 08 03:34:06 +0000 2018,.@Oprah's acceptance speech for the Cecil B. DeMille Award at this year's #GoldenGlobes drew a standing ovation fro… https://t.co/CmO7nDRQpX,77,BBCWorld
-0.6486,0.48,0.339,0.181,Mon Jan 08 03:12:05 +0000 2018,"Heart attack care dangerously unequal for women, study finds https://t.co/om2OzlLrbX",78,BBCWorld
0.7964,0.132,0.488,0.38,Mon Jan 08 02:53:04 +0000 2018,"Laura Dern, winner of Best Supporting Actress for her role in @Big_Little_Lies, address sexual assault survivors in… https://t.co/xzehCnUiTy",79,BBCWorld
0.836,0.0,0.669,0.331,Mon Jan 08 02:50:08 +0000 2018,"RT @BBCBreaking: Ewan McGregor wins 'Best Actor in a Television Miniseries' for his role in Fargo

#GoldenGlobes https://t.co/Ow1hcEIybA ht…",80,BBCWorld
0.836,0.0,0.603,0.397,Mon Jan 08 02:11:16 +0000 2018,"RT @BBCBreaking: James Franco wins 'Best Actor in a Comedy/Musical Motion Picture'

#GoldenGlobes https://t.co/9ws5IWhSCr https://t.co/bwSj…",81,BBCWorld
0.0,0.0,1.0,0.0,Mon Jan 08 01:58:23 +0000 2018,Bitcoin blip https://t.co/EPXfAvFDmP,82,BBCWorld
